READABLE DATASET
================================================================================
Original file: JSON_Files/100_Nadi_Sutras.json
Dataset number: 153 of 455
Format: valid JSON
Structure: Object / structured dataset
Original size: 25,432 bytes
Top-level fields: 2

CONTENT
--------------------------------------------------------------------------------
• metadata:
  • title: 100 Nadi Sutras
  • description: A collection of 100 Nadi Sutras (Nadi Shastra / Nadi Astrology aphorisms) presented in a readable JSON format. These sutras are traditional aphorisms attributed to ancient Indian sages, used in Nadi Astrology for guidance on karma, destiny, dharma, and spiritual life.
  • total_sutras: 100
  • language: Sanskrit (transliterated) + English translation
  • format_version: 1.0
  • created_for: Educational and spiritual study
  • note: Nadi Sutras are traditionally transmitted orally and vary by lineage. This compilation is a representative collection for study and reflection.
• sutras:
  TABLE (100 rows)
  id | sanskrit | english | theme | source
  ----------------------------------------
  1 | Karmany evadhikaras te ma phaleshu kadachana | You have the right to action alone, never to its fruits. | Karma Yoga | Bhagavad Gita 2.47
  2 | Yoga-sthah kuru karmani sangam tyaktva dhananjaya | Established in yoga, perform actions, abandoning attachment, O Arjuna. | Karma Yoga | Bhagavad Gita 2.48
  3 | Sukha-duhkhe same kritva labhalabhau jayajayau | Treating pleasure and pain, gain and loss, victory and defeat equally. | Equanimity | Bhagavad Gita 2.38
  4 | Atmaiva hy atmano bandhur atmaiva ripur atmanah | The self is the friend of the self, and the self is the enemy of the self. | Self-Discipline | Bhagavad Gita 6.5
  5 | Uddhared atmanatmanam natmanam avasadayet | One should uplift oneself by oneself; one should not degrade oneself. | Self-Improvement | Bhagavad Gita 6.5
  6 | Yatra yogeshvarah krishno yatra partho dhanur-dharah | Wherever there is Krishna, the master of yoga, and Arjuna, the wielder of the bow, there will surely be victory, prosperity, and righteousness. | Divine Guidance | Bhagavad Gita 18.78
  7 | Paritranaya sadhunam vinashaya cha dushkritam | For the protection of the good and the destruction of the wicked. | Divine Purpose | Bhagavad Gita 4.8
  8 | Dharma-samsthapanarthaya sambhavami yuge yuge | I manifest age after age to reestablish dharma. | Dharma | Bhagavad Gita 4.8
  9 | Yada yada hi dharmasya glanir bhavati bharata | Whenever there is a decline of dharma, O Bharata. | Dharma | Bhagavad Gita 4.7
  10 | Abhyasa-vairagyabhyam tan-nirodhah | The mind is restrained by practice and detachment. | Mind Control | Yoga Sutras 1.12
  11 | Yogash chitta-vritti-nirodhah | Yoga is the cessation of the modifications of the mind. | Yoga | Yoga Sutras 1.2
  12 | Tada drashtuh svarupe avasthanam | Then the seer abides in its own true nature. | Self-Realization | Yoga Sutras 1.3
  13 | Vritti-sarupyam itaratra | At other times, the seer identifies with the modifications of the mind. | Ignorance | Yoga Sutras 1.4
  14 | Pramana-viparyaya-vikalpa-nidra-smritayah | The modifications are right knowledge, wrong knowledge, imagination, sleep, and memory. | Mind | Yoga Sutras 1.6
  15 | Drashta drishimatrah shuddho 'pi pratyaya-anupashyah | The seer is pure consciousness, but appears to be colored by the mind. | Consciousness | Yoga Sutras 2.20
  16 | Heyam duhkham anagatam | Future suffering can be avoided. | Suffering | Yoga Sutras 2.16
  17 | Drashta-drishyayoh samyogo heya-hetuh | The cause of suffering is the union of the seer and the seen. | Suffering | Yoga Sutras 2.17
